"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"register-facility-model.facilityaddress.extension","register-facility-model.facilityaddress.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"register-facility-model.facilityaddress.modifierExtension","register-facility-model.facilityaddress.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"register-facility-model.facilityaddress.houseNumber","register-facility-model.facilityaddress.houseNumber","","","",0,1,"","","","string {[]} {[]}
","The number of the house where the facility is.","The number of the house where the facility is.","","","","","","","","","",,,,,"",,,,"register-facility-model.facilityaddress.houseNumber",0,1,"",""
"register-facility-model.facilityaddress.village","register-facility-model.facilityaddress.village","","","",0,1,"","","","string {[]} {[]}
","The village or street where the facility is.","The village or street where the facility is.","","","","","","","","","",,,,,"",,,,"register-facility-model.facilityaddress.village",0,1,"",""
"register-facility-model.facilityaddress.city","register-facility-model.facilityaddress.city","","","",0,1,"","","","string {[]} {[]}
","The town or city where the facility is .","The town or city where the facility is .","","","","","","","","","",,,,,"",,,,"register-facility-model.facilityaddress.city",0,1,"",""
"register-facility-model.facilityaddress.ward","register-facility-model.facilityaddress.ward","","","",0,1,"","","","CodeableConcept {[]} {[]}
","The ward where the health facility is.","The ward where the health facility is.","","","","","","","","","",,,,,"#NGWardsVS
",,,,"register-facility-model.facilityaddress.ward",0,1,"",""
"register-facility-model.facilityaddress.lga","register-facility-model.facilityaddress.lga","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Local Government Authority where the facility is.","Local Government Authority where the facility is.","","","","","","","","","",,,,,"#NGLGAsVS
",,,,"register-facility-model.facilityaddress.lga",0,1,"",""
"register-facility-model.facilityaddress.state","register-facility-model.facilityaddress.state","","","",0,1,"","","","CodeableConcept {[]} {[]}
","The state where the health facility is.","The state where the health facility is.","","","","","","","","","",,,,,"#NGStatesVS
",,,,"register-facility-model.facilityaddress.state",0,1,"",""
"register-facility-model.primarycontact","register-facility-model.primarycontact","","","",0,*,"","","","BackboneElement {[]} {[]}
","The primary contact for the health facility","The primary contact for the health facility","","","","","","","","","",,,,,"",,,,"register-facility-model.primarycontact",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"register-facility-model.primarycontact.id","register-facility-model.primarycontact.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"register-facility-model.primarycontact.extension","register-facility-model.primarycontact.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"register-facility-model.primarycontact.modifierExtension","register-facility-model.primarycontact.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"register-facility-model.primarycontact.name","register-facility-model.primarycontact.name","","","",1,1,"","","","BackboneElement {[]} {[]}
","The full name of the contact.","The full name of the contact.","","","","","","","","","",,,,,"",,,,"register-facility-model.primarycontact.name",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"register-facility-model.primarycontact.name.id","register-facility-model.primarycontact.name.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"register-facility-model.primarycontact.name.extension","register-facility-model.primarycontact.name.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"register-facility-model.primarycontact.name.modifierExtension","register-facility-model.primarycontact.name.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"register-facility-model.primarycontact.name.family","register-facility-model.primarycontact.name.family","","","",1,1,"","","","string {[]} {[]}
","Family name of the contact.","Family name of the contact.","","","","","","","","","",,,,,"",,,,"register-facility-model.primarycontact.name.family",1,1,"",""
"register-facility-model.primarycontact.name.given","register-facility-model.primarycontact.name.given","","","",1,1,"","","","string {[]} {[]}
","Given name of the contact.","Given name of the contact.","","","","","","","","","",,,,,"",,,,"register-facility-model.primarycontact.name.given",1,1,"",""
"register-facility-model.primarycontact.telecom","register-facility-model.primarycontact.telecom","","","",0,*,"","","","ContactPoint {[]} {[]}
","Phone number of the contact.","Phone number of the contact.","","","","","","","","","",,,,,"",,,,"register-facility-model.primarycontact.telecom",0,*,"","cpt-2:A system is required if a value is provided. {value.empty() or system.exists()}
ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}"
"register-facility-model.primarycontact.telecom.id","register-facility-model.primarycontact.telecom.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"register-facility-model.primarycontact.telecom.extension","register-facility-model.primarycontact.telecom.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"register-facility-model.primarycontact.telecom.system","register-facility-model.primarycontact.telecom.system","","","",1,1,"","","Y","code {[]} {[]}
","Type of communication (e.g., phone, email).","Type of communication (e.g., phone, email).","","","","","","","","","",,"required","Telecommunications form for contact point.","http://hl7.org/fhir/ValueSet/contact-point-system|4.0.1","",,,,"ContactPoint.system",0,1,"cpt-2
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"register-facility-model.primarycontact.telecom.value","register-facility-model.primarycontact.telecom.value","","","",1,1,"","","Y","string {[]} {[]}
","The primary contact's number or email address.","The primary contact's number or email address.","Additional text data such as phone extension numbers, or notes about use of the contact are sometimes included in the value.","Need to support legacy numbers that are not in a tightly controlled format.","","","","","","","",,,,,"",,,,"ContactPoint.value",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"register-facility-model.primarycontact.telecom.use","register-facility-model.primarycontact.telecom.use","","","",0,1,"","Y","Y","code {[]} {[]}
","home | work | temp | old | mobile - purpose of this contact point","Identifies the purpose for the contact point.","Applications can assume that a contact is current unless it explicitly says that it is temporary or old.","Need to track the way a person uses this contact, so a user can choose which is appropriate for their purpose.","","","","","","","",,"required","Use of contact point.","http://hl7.org/fhir/ValueSet/contact-point-use|4.0.1","",,,,"ContactPoint.use",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"register-facility-model.primarycontact.telecom.rank","register-facility-model.primarycontact.telecom.rank","","","",0,1,"","","Y","positiveInt {[]} {[]}
","Specify preferred order of use (1 = highest)","Specifies a preferred order in which to use a set of contacts. ContactPoints with lower rank values are more preferred than those with higher rank values.","Note that rank does not necessarily follow the order in which the contacts are represented in the instance.","","","","","","","","",,,,,"",,,,"ContactPoint.rank",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"register-facility-model.primarycontact.telecom.period","register-facility-model.primarycontact.telecom.period","","","",0,1,"","","Y","Period {[]} {[]}
","Time period when the contact point was/is in use","Time period when the contact point was/is in use.","","","","","","","","","",,,,,"",,,,"ContactPoint.period",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"register-facility-model.primarycontact.houseNumber","register-facility-model.primarycontact.houseNumber","","","",0,1,"","","","string {[]} {[]}
","The number of the primary contact.","The number of the primary contact.","","","","","","","","","",,,,,"",,,,"register-facility-model.primarycontact.houseNumber",0,1,"",""
"register-facility-model.primarycontact.village","register-facility-model.primarycontact.village","","","",0,1,"","","","string {[]} {[]}
","The village or street where the primary contact lives.","The village or street where the primary contact lives.","","","","","","","","","",,,,,"",,,,"register-facility-model.primarycontact.village",0,1,"",""
"register-facility-model.primarycontact.city","register-facility-model.primarycontact.city","","","",0,1,"","","","string {[]} {[]}
","The town or city where the primary contact resides.","The town or city where the primary contact resides.","","","","","","","","","",,,,,"",,,,"register-facility-model.primarycontact.city",0,1,"",""
"register-facility-model.primarycontact.ward","register-facility-model.primarycontact.ward","","","",0,1,"","","","CodeableConcept {[]} {[]}
","The ward where the primary contact is.","The ward where the primary contact is.","","","","","","","","","",,,,,"#NGWardsVS
",,,,"register-facility-model.primarycontact.ward",0,1,"",""
"register-facility-model.primarycontact.lga","register-facility-model.primarycontact.lga","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Local Government Authority where the primary contact lives.","Local Government Authority where the primary contact lives.","","","","","","","","","",,,,,"#NGLGAsVS
",,,,"register-facility-model.primarycontact.lga",0,1,"",""
"register-facility-model.primarycontact.state","register-facility-model.primarycontact.state","","","",0,1,"","","","CodeableConcept {[]} {[]}
","The state where the primary contact is.","The state where the primary contact is.","","","","","","","","","",,,,,"#NGStatesVS
",,,,"register-facility-model.primarycontact.state",0,1,"",""
